"","SOURCE_TRACTID","NEIGHBOR_TRACTID"
"780","39017010103","39035123400"
"781","39017010103","39035123501"
"782","39017010103","39035123502"
"783","39017010104","39035122200"
"784","39017010104","39035123100"
"785","39017010104","39035123400"
"786","39017010201","39035122200"
"787","39017010201","39035123100"
"788","39017010201","39035123501"
"789","39017010201","39035123502"
"790","39017010202","39017011800"
"791","39017010202","39035122100"
"792","39017010202","39035122200"
"793","39017010202","39035122300"
"794","39017010202","39035123100"
"795","39017010202","39035123400"
"796","39017010202","39035131104"
"797","39017010202","39035196100"
"798","39017010203","39035123501"
"799","39017010203","39035189111"
"800","39017010203","39049006944"
"801","39017010203","39113040405"
"802","39017010301","39017012200"
"803","39017010301","39035131104"
"804","39017010301","39035132100"
"805","39017010301","39035140800"
"806","39017010301","39035189110"
"807","39017010301","39035196400"
"808","39017010302","39021010600"
"809","39017010302","39035123501"
"810","39017010302","39035131103"
"811","39017010302","39035196100"
"812","39017010500","39035140702"
"813","39017010500","39035189110"
"814","39017010500","39035189112"
"815","39017010500","39035194500"
"816","39017010600","39035131103"
"817","39017010600","39035189112"
"818","39017010600","39035194500"
"819","39017010600","39035194800"
"820","39017010600","39035196000"
"821","39017010600","39035196100"
"822","39017010600","39035196400"
"823","39017010800","39035122100"
"824","39017010800","39035123900"
"825","39017010800","39035179102"
"826","39017010800","39035180102"
"827","39017010800","39035195900"
"828","39017010800","39035196100"
"829","39017010800","39049006944"
"830","39017010800","39061024800"
"831","39017010901","39035123900"
"832","39017010901","39035124100"
"833","39017010901","39035179101"
"834","39017010901","39035179102"
"835","39017010901","39035186105"
"836","39017010901","39035189111"
"837","39017010903","39035124100"
"838","39017010903","39035186105"
"839","39017010903","39035186106"
"840","39017010903","39035186107"
"841","39017010903","39103417100"
"842","39017010904","39035179101"
"843","39017010904","39035180102"
"844","39017010904","39035180103"
"845","39017010904","39035186106"
"846","39017010906","39035130105"
"847","39017010906","39035179101"
"848","39017010906","39035180103"
"849","39017010906","39035186105"
"850","39017010906","39035186107"
"851","39017010906","39035186202"
"852","39017010906","39035190503"
"853","39017010907","39035180103"
"854","39017010907","39035186106"
"855","39017010907","39035186202"
"856","39017010907","39041011200"
"857","39017010908","39035130105"
"858","39017010908","39035186106"
"859","39017010908","39035186107"
"860","39017010908","39035186203"
"861","39017010908","39113070600"
"862","39017010908","39113070700"
"863","39017010909","39035130105"
"864","39017010909","39035130106"
"865","39017010909","39035132200"
"866","39017010909","39035136103"
"867","39017010909","39035186202"
"868","39017010909","39095007301"
"869","39017010909","39113070700"
"870","39017010910","39035123900"
"871","39017010910","39035180102"
"872","39017010910","39035180103"
"873","39017010910","39061025401"
"874","39017010910","39103417100"
"875","39017010911","39035124100"
"876","39017010911","39035180102"
"877","39017010911","39035189111"
"878","39017010911","39061024800"
"879","39017010911","39061025401"
"880","39017011002","39035130105"
"881","39017011002","39035130106"
"882","39017011002","39035140702"
"883","39017011002","39035151300"
"884","39017011002","39035189108"
"885","39017011002","39035189109"
"886","39017011002","39035189110"
"887","39017011002","39035196000"
"888","39017011002","39035196400"
"889","39017011003","39035123800"
"890","39017011003","39035130105"
"891","39017011003","39035140600"
"892","39017011003","39035186203"
"893","39017011003","39035189112"
"894","39017011004","39035130106"
"895","39017011004","39035186106"
"896","39017011004","39035186202"
"897","39017011004","39035186203"
"898","39017011004","39035189108"
"899","39017011004","39035189112"
"900","39017011004","39035190503"
"901","39017011109","39035123602"
"902","39017011109","39035123603"
"903","39017011109","39035135103"
"904","39017011109","39035135105"
"905","39017011109","39035135106"
"906","39017011109","39035136101"
"907","39017011109","39035136102"
"908","39017011109","39151713401"
"909","39017011110","39035123601"
"910","39017011110","39035123603"
"911","39017011110","39035135105"
"912","39017011111","39035123601"
"913","39017011111","39035123602"
"914","39017011111","39035140701"
"915","39017011111","39113003404"
"916","39017011111","39153503200"
