"","SOURCE_TRACTID","39175938500","NEIGHBOR_TRACTID"
"775","39017010202",0,"39035122300"
"776","39017010202",0,"39035130105"
"777","39017010202",0,"39035195800"
"778","39017010203",0,"39035123100"
"779","39017010203",0,"39035189108"
"780","39017010203",0,"39049006921"
"781","39017010203",0,"39113040403"
"782","39017010301",0,"39017011800"
"783","39017010301",0,"39035130105"
"784","39017010301",0,"39035130106"
"785","39017010301",0,"39035140600"
"786","39017010301",0,"39035189107"
"787","39017010301",0,"39035196100"
"788","39017010302",0,"39021010400"
"789","39017010302",0,"39035123100"
"790","39017010302",0,"39035130104"
"791","39017010302",0,"39035195800"
"792","39017010500",0,"39035140400"
"793","39017010500",0,"39035189107"
"794","39017010500",0,"39035189109"
"795","39017010500",0,"39035193900"
"796","39017010600",0,"39035130104"
"797","39017010600",0,"39035189109"
"798","39017010600",0,"39035193900"
"799","39017010600",0,"39035194100"
"800","39017010600",0,"39035195600"
"801","39017010600",0,"39035195800"
"802","39017010600",0,"39035196100"
"803","39017010800",0,"39035121800"
"804","39017010800",0,"39035123700"
"805","39017010800",0,"39035178204"
"806","39017010800",0,"39035178206"
"807","39017010800",0,"39035194900"
"808","39017010800",0,"39035195800"
"809","39017010800",0,"39049006921"
"810","39017010800",0,"39061024100"
"811","39017010901",0,"39035123700"
"812","39017010901",0,"39035123800"
"813","39017010901",0,"39035178201"
