"Geography","District"
"39023002200","8"
"39169000500","16"
"39139002400","7"
"39153531500","16"
"39169001200","16"
"39045032100","15"
"39061005100","2"
"39055311900","14"
"39039958100","5"
"39045031000","15"
"39113002600","10"
"39153531405","16"
"39065000600","5"
"39035151700","11"
"39085204400","14"
"39005970500","7"
"39131952700","2"
"39061009700","1"
"39035175105","16"
"39035185101","11"
"39095003000","9"
"39061004800","2"
"39035154603","11"
"39133601000","13"
"39023000400","8"
"39061002700","1"
"39035137103","9"
"39081000200","6"
"39061023800","2"
"39049009372","3"
"39139000500","12"
"39035120200","11"
"39153510400","13"
"39095000900","9"
"39049004700","3"
"39053953700","6"
"39093990200","9"
"39153534100","14"
"39169001400","16"
"39113003500","10"
"39169003300","16"
"39061002800","1"
"39049008500","15"
"39017000200","8"
"39151711311","16"
"39061026300","1"
"39155930700","13"
"39025041702","2"
"39095008700","5"
"39113010200","10"
"39025041303","2"
"39029950400","6"
"39147963600","4"
"39035152604","11"
"39133600603","13"
"39049006383","12"
"39011041202","4"
"39113040403","10"
"39049003700","3"
"39153532708","14"
"39089753100","12"
"39151710200","13"
"39037500100","8"
"39143960900","4"
"39049009361","3"
"39013010700","6"
"39057200600","10"
"39133600800","13"
"39095004600","9"
"39113004600","10"
"39029950600","6"
"39099811600","13"
"39085203500","14"
"39061022400","1"
"39035171204","11"
"39023001000","8"
"39041011530","12"
"39061023002","1"
"39155933302","13"
"39057210200","10"
"39035115200","11"
"39151715000","7"
"39015951400","2"
"39093071100","4"
"39049006000","3"
"39109345000","8"
"39035151300","11"
"39035120600","11"
"39089752800","12"
"39007000701","14"
"39095008203","5"
"39145002600","6"
"39153530108","14"
"39171950500","5"
"39095002200","9"
"39113020700","10"
"39035161700","9"
"39061024100","2"
"39133600706","13"
"39061025800","1"
"39049006321","15"
"39035102102","9"
"39041012000","12"
"39089756202","12"
"39049007933","15"
"39033975100","4"
"39055311800","14"
"39175938400","5"
"39085201400","14"
"39093022100","9"
"39035117101","11"
"39007001400","14"
"39035120702","11"
"39165030800","1"
"39147962700","4"
"39151712400","7"
"39033975000","4"
"39035106600","9"
"39173020601","5"
"39139003002","12"
"39095006100","5"
"39099810700","13"
"39029951700","6"
"39041012200","12"
"39113001200","10"
"39019720100","6"
"39101000600","4"
"39061010900","1"
"39157022001","6"
"39085205900","14"
"39113021302","10"
"39015951202","2"
"39155933301","13"
"39109315001","8"
"39141955500","15"
"39151714600","7"
"39061001000","1"
"39113003300","10"
"39087051401","6"
"39047925800","10"
"39165031200","1"
"39061021505","1"
"39017010600","8"
"39057240600","10"
"39109355002","8"
"39043041100","9"
"39153532703","14"
"39089755300","12"
"39167020101","6"
"39119912300","12"
"39155920600","13"
"39147963300","4"
"39001770400","2"
"39085201800","14"
"39061005800","2"
"39061005900","2"
"39035102300","9"
"39167021600","6"
"39079957800","6"
"39113100201","10"
"39035175104","16"
"39133600500","14"
"39169003000","16"
"39093070500","4"
"39085204500","14"
"39077916600","7"
"39049005500","3"
"39085203700","14"
"39099812602","13"
"39093070700","4"
"39095007002","5"
"39075976400","7"
"39157021400","7"
"39035173105","16"
"39035102101","9"
"39041011421","12"
"39095009101","5"
"39057280300","10"
"39049002520","3"
"39085204900","14"
"39049008164","3"
"39049009381","3"
"39085201200","14"
"39017000400","8"
"39035178205","16"
"39003014100","4"
"39035101102","11"
"39049009350","3"
"39099802300","13"
"39061020403","1"
"39069000300","5"
"39035171103","11"
"39035171206","11"
"39169002902","16"
"39113040204","10"
"39159050301","4"
"39099810800","13"
"39035183501","11"
"39155933001","13"
"39061021003","1"
"39049007532","3"
"39109365000","8"
"39061008601","1"
"39035186104","16"
"39035113101","11"
"39095007303","9"
"39035155101","14"
"39013012200","6"
"39169002400","16"
"39093023600","9"
"39089751300","12"
"39013010600","6"
"39009973000","15"
"39085201100","14"
"39013011900","6"
"39035178102","16"
"39101000700","4"
"39071954800","2"
"39157020300","7"
"39095004200","9"
"39013010900","6"
"39035119100","11"
"39025041900","2"
"39103400100","16"
"39035117202","11"
"39049006353","15"
"39155933800","13"
"39035186202","16"
"39089750700","12"
"39113020100","10"
"39103408003","16"
"39035186203","16"
"39049006821","12"
"39035124300","9"
"39035118700","11"
"39035152302","11"
"39093023300","9"
"39051040300","5"
"39035111202","11"
"39017014400","8"
"39037530100","8"
"39075976302","7"
"39153503500","11"
"39007000103","14"
"39023001700","8"
"39043040100","9"
"39035178206","16"
"39035131102","11"
"39119911400","12"
"39093097300","9"
"39061022101","2"
"39035108201","11"
"39151711121","16"
"39049007112","3"
