"Geography","fips_county","fips_tract","Population","White","Black","Asian","NHPI","AIAN","Two or More Races","Other","district"
"39033974200","033","974200",4345,4291,6,12,1,7,19,9,6
"39033974300","033","974300",2765,2651,20,48,0,2,25,19,6
"39033974400","033","974400",3458,3308,63,9,1,1,58,18,6
"39033974500","033","974500",4102,3958,29,20,1,13,58,23,6
"39033974600","033","974600",2789,2718,35,7,0,4,21,4,6
"39033974700","033","974700",4026,3980,6,7,1,4,24,4,4
"39033974800","033","974800",2221,2102,61,5,0,6,47,0,4
"39033974900","033","974900",3397,3209,88,17,1,7,66,9,4
"39033975000","033","975000",3748,3663,12,13,0,4,45,11,4
"39033975100","033","975100",3052,2964,26,3,0,5,32,22,4
"39033975200","033","975200",2691,2646,5,8,1,2,20,9,4
"39033975300","033","975300",3524,3460,13,3,1,4,38,5,4
"39035101101","035","101101",1783,821,788,35,0,5,69,65,7
"39035101102","035","101102",4221,3172,677,96,2,16,135,123,7
"39035101200","035","101200",2562,1522,648,35,0,8,106,243,7
"39035101300","035","101300",1629,948,550,17,1,12,63,38,7
"39035101400","035","101400",2195,1165,547,64,1,17,146,255,7
"39035101501","035","101501",2194,1125,598,142,1,5,122,201,7
"39035101603","035","101603",2471,1264,692,70,0,24,141,280,2
"39035101700","035","101700",2752,1152,1049,64,0,24,155,308,7
"39035101800","035","101800",2942,1532,936,20,0,10,151,293,7
"39035101901","035","101901",1692,896,438,37,0,14,99,208,7
"39035102101","035","102101",3152,1903,677,54,3,21,164,330,2
"39035102102","035","102102",2512,1574,416,109,0,9,118,286,2
"39035102200","035","102200",2750,1658,474,125,0,14,152,327,2
"39035102300","035","102300",2283,1255,506,45,7,17,113,340,2
"39035102401","035","102401",2114,1198,445,26,3,14,101,327,2
"39035102402","035","102402",3250,1787,726,45,5,25,201,461,2
"39035102700","035","102700",4553,2502,1097,34,0,32,257,631,2
"39035102800","035","102800",2048,993,504,20,0,15,110,406,2
"39035102900","035","102900",1961,975,346,5,0,11,83,541,7
"39035103100","035","103100",1054,623,202,24,1,11,65,128,7
"39035103300","035","103300",2222,552,1463,55,1,8,65,78,7
"39035103400","035","103400",2770,1487,772,32,1,11,151,316,7
"39035103500","035","103500",1981,1184,413,7,0,33,68,276,7
"39035103602","035","103602",3254,1969,984,43,4,8,105,141,7
"39035103800","035","103800",1993,1215,326,6,7,6,99,334,7
"39035103900","035","103900",2042,1043,417,21,0,23,118,420,7
"39035104100","035","104100",1095,635,228,6,0,9,43,174,7
"39035104200","035","104200",1143,589,417,12,0,6,51,68,7
"39035104300","035","104300",1603,1252,227,28,0,3,35,58,7
"39035104400","035","104400",1498,968,351,9,2,11,54,103,7
"39035104600","035","104600",1190,569,303,5,0,6,65,242,7
"39035104800","035","104800",2124,1070,517,19,4,9,95,410,2
"39035104900","035","104900",2493,1336,493,20,1,21,96,526,2
"39035105100","035","105100",3790,2325,508,37,1,24,190,705,2
"39035105300","035","105300",3434,1865,632,17,0,23,159,738,2
"39035105400","035","105400",3646,2138,723,17,3,30,192,543,2
"39035105500","035","105500",1854,927,369,30,0,7,107,414,2
"39035105602","035","105602",2163,1279,526,6,0,11,112,229,2
"39035105700","035","105700",4165,3120,624,43,0,14,142,222,2
"39035105900","035","105900",2968,2582,145,49,3,6,83,100,2
"39035106100","035","106100",3503,2801,260,35,0,7,108,292,2
"39035106200","035","106200",3663,3102,207,43,1,10,106,194,2
"39035106300","035","106300",2764,2080,296,38,1,17,129,203,2
"39035106400","035","106400",1115,919,77,6,0,1,40,72,2
"39035106500","035","106500",2520,2130,105,45,0,9,110,121,2
"39035106600","035","106600",3222,2756,188,37,2,19,101,119,2
