"Geography","Population","district"
"39047925900",3557,6
"39047926000",4171,6
"39047926100",4772,6
"39047926200",4692,6
"39047926300",3538,6
"39047926400",4324,6
"39049000110",3344,6
"39049000120",3162,6
"39049000210",2935,6
"39049000220",3727,6
"39049000310",3147,6
"39049000320",2390,6
"39049000330",2314,6
"39049000410",2419,6
"39049000420",3139,6
"39049000500",4057,6
"39049000600",3780,6
"39049000710",3102,6
"39049000720",2384,6
"39049000730",3090,6
"39049000810",2540,6
"39049000820",3121,6
"39049000910",3409,6
"39049000920",2069,6
"39049001000",5830,6
"39049001110",3688,6
"39049001121",7300,6
"39049001122",3159,13
"39049001200",4822,6
"39049001300",6583,6
"39049001400",1543,6
"39049001500",2031,6
"39049001600",1682,6
"39049001700",2704,6
"39049001810",4434,6
"39049001820",2598,6
"39049001901",2031,13
"39049001902",3410,13
"39049002000",3252,6
"39049002100",1808,6
"39049002200",1851,6
"39049002300",1453,6
"39049002510",2856,6
"39049002520",2648,6
"39049002600",4028,6
"39049002710",1858,6
"39049002730",2104,6
"39049002740",2316,6
"39049002750",2349,6
"39049002760",3066,6
"39049002770",1995,6
"39049002780",2423,6
"39049002800",2629,6
"39049002900",2368,6
"39049003000",3105,6
"39049003200",2147,13
"39049003600",1442,6
"39049003700",3303,6
"39049003800",1896,6
"39049004000",2941,6
"39049004200",1370,13
"39049004300",5613,13
"39049004500",5154,13
"39049004610",3368,13
"39049004620",2659,13
"39049004700",4971,13
"39049004810",2891,13
"39049004820",2589,13
"39049004900",5651,13
"39049005000",5205,13
"39049005100",1928,13
"39049005200",2584,6
"39049005300",3054,6
"39049005410",1362,6
"39049005420",2151,6
"39049005500",4228,6
"39049005610",1784,6
"39049005620",2542,6
"39049005700",3629,6
"39049005810",2548,6
"39049005820",2230,6
"39049005900",2546,6
"39049006000",2345,6
"39049006100",2398,6
"39049006220",6527,13
"39049006230",13127,13
"39049006236",5979,13
"39049006310",4439,13
"39049006321",4086,13
"39049006323",3318,13
"39049006330",4716,13
"39049006340",3105,13
"39049006351",3789,13
"39049006352",2985,13
"39049006353",4462,13
"39049006371",6472,13
"39049006372",5738,13
"39049006383",8813,13
"39049006384",6194,3
"39049006386",3702,13
"39049006387",5527,13
"39049006391",4770,3
"39049006392",4386,6
"39049006393",5239,13
"39049006394",2750,3
"39049006395",3673,13
"39049006396",4289,13
"39049006410",2666,13
"39049006430",4459,13
"39049006500",3646,13
"39049006600",3903,13
"39049006710",2666,6
"39049006721",3390,6
"39049006722",2828,6
"39049006810",2140,6
"39049006821",3327,6
"39049006822",1876,6
"39049006910",1530,6
"39049006921",3431,6
"39049006923",3281,6
"39049006924",3677,6
"39049006931",6249,6
"39049006932",5996,6
"39049006933",5257,6
"39049006942",1167,3
"39049006943",4489,3
"39049006944",4112,3
"39049006945",5353,3
"39049006950",2744,6
"39049006990",6376,3
"39049007010",3802,3
"39049007020",6372,3
"39049007041",2062,3
"39049007043",4047,3
"39049007044",5614,3
"39049007047",3727,3
"39049007048",5672,3
"39049007112",5431,6
"39049007113",4918,6
"39049007114",4823,3
"39049007115",5380,3
"39049007120",5117,3
"39049007132",7422,3
"39049007193",6316,3
"39049007194",6417,3
"39049007198",2812,3
"39049007199",5271,3
"39049007201",613,3
"39049007202",2915,3
"39049007203",3233,3
"39049007205",3710,3
"39049007207",4173,3
"39049007209",5706,3
"39049007210",8200,3
"39049007393",8742,3
"39049007394",2806,3
"39049007395",11281,3
"39049007396",9839,3
"39049007424",5470,3
"39049007425",2867,3
"39049007426",2823,3
"39049007427",6030,3
"39049007492",5738,3
"39049007494",4341,3
"39049007511",1851,6
"39049007512",4053,6
"39049007520",3321,6
"39049007531",2496,6
"39049007532",2080,6
"39049007533",1569,6
"39049007534",3671,6
"39049007550",2871,6
"39049007551",8138,6
"39049007710",4236,6
"39049007721",5155,6
"39049007722",3210,6
"39049007730",2925,6
"39049007740",1653,6
"39049007811",3461,13
"39049007812",4094,6
"39049007820",4095,6
"39049007830",2719,13
"39049007921",7719,13
"39049007922",4101,13
"39049007931",4175,13
"39049007933",7626,13
"39049007941",2588,13
"39049007951",8386,13
"39049007952",7428,13
"39049007953",6569,13
"39049007954",7659,13
"39049008000",5410,13
"39049008110",3973,13
"39049008120",3789,13
"39049008132",6619,13
"39049008141",7575,13
"39049008142",6806,13
"39049008161",7166,13
"39049008162",9125,13
"39049008163",3518,13
"39049008164",4008,13
"39049008210",2210,13
"39049008230",1745,13
"39049008241",2772,13
"39049008242",6425,13
"39049008311",4857,13
"39049008312",4805,13
"39049008321",2299,13
"39049008322",4536,13
"39049008330",1744,13
"39049008340",5988,13
"39049008350",6684,13
"39049008360",6366,13
"39049008370",7384,13
"39049008380",5417,6
"39049008400",2962,13
"39049008500",4280,13
"39049008710",2691,6
"39049008720",3459,6
"39049008730",1761,6
"39049008811",1873,6
"39049008812",3034,6
"39049008813",2326,6
"39049008821",2695,6
"39049008822",4016,6
"39049008825",6296,6
"39049008900",5063,6
"39049009000",3257,6
"39049009100",4737,6
"39049009210",4713,6
"39049009220",2372,6
"39049009230",4429,6
"39049009240",1919,6
"39049009250",1889,6
"39049009311",2879,6
"39049009312",2996,6
"39049009321",2164,6
"39049009322",3205,6
"39049009323",3232,6
"39049009325",4598,6
"39049009326",1747,6
"39049009331",803,6
"39049009332",3100,6
"39049009333",2059,6
"39049009334",2810,6
"39049009336",2738,6
"39049009337",3857,6
"39049009340",2816,6
"39049009350",2700,6
"39049009361",4770,6
"39049009362",6436,6
"39049009371",5528,6
"39049009372",4306,6
"39049009373",5773,6
"39049009374",8056,6
"39049009381",5439,3
"39049009382",2803,3
"39049009383",2273,6
"39049009384",2595,6
"39049009385",3441,6
"39049009386",2764,6
"39049009390",5409,3
"39049009410",2874,6
"39049009420",5793,6
"39049009430",7328,6
"39049009440",4385,6
"39049009450",8864,6
"39049009495",4843,6
"39049009497",1625,6
"39049009520",4308,6
"39049009590",4732,6
"39049009600",4169,13
"39049009711",4352,13
"39049009712",2523,13
"39049009720",6810,6
"39049009740",13583,6
"39049009751",5032,13
"39049009752",6124,13
"39049009800",6745,13
"39049009900",1499,6
"39049010000",5388,3
"39049010100",1020,6
"39049010200",15920,6
"39049010300",2801,6
"39049010400",7499,13
"39049010500",7953,13
"39049010601",4644,13
"39049010602",6239,13
"39049010700",1299,6
"39049980000",2,3
"39051040100",3286,15
"39051040200",4610,15
"39051040300",4819,15
"39051040400",3494,15
"39051040500",4899,15
"39051040600",4430,15
"39051040700",7714,15
"39051040800",4940,15
"39051040900",4506,15
"39053953500",4827,5
"39053953600",4068,5
"39053953700",4344,5
"39053953800",4303,5
"39053953900",7012,5
"39053954000",3752,5
"39053954100",2628,5
"39055310100",2269,10
"39055310200",1991,10
"39055310600",6148,9
"39055310700",4107,9
"39055310800",6621,10
"39055310900",3200,10
"39055311000",3637,10
"39055311300",4412,10
"39055311400",5537,10
"39055311500",5306,10
"39055311600",3810,10
"39055311700",4089,10
"39055311800",7306,10
"39055311900",6443,10
"39055312000",2801,10
"39055312100",4131,10
"39055312201",5410,10
"39055312202",4323,10
"39055312203",4661,10
"39055312300",4643,10
"39055312400",2544,10
"39057200101",2481,14
"39057200103",3713,14
"39057200104",6615,14
"39057200300",3907,14
"39057200400",2064,14
"39057200500",5048,14
"39057200600",3557,14
